Index,Name,Phone,Email,Website,Practitioner, Location
27,"The Town Medical Centre","03 9670 5777","reception@townmedicalcentre.com.au","www.townmedicalcentre.com.au/","Graeme Baro","Level 5, 179 Queen Street MELBOURNE VIC 3000"
28,"Collins Street Medical Centre","03 8575 6900","collinsstreet.mc@partneredhealth.com.au","collinsstmedicalcentre.com.au/","Victoria Nahamkes","LEVEL 7, 267 COLLINS STREET MELBOURNE VIC 3000"
29,"Collins Street Medical Centre","03 8575 6900","collinsstreet.mc@partneredhealth.com.au","collinsstmedicalcentre.com.au/","Amanda Nutting","LEVEL 7, 267 COLLINS STREET MELBOURNE VIC 3000"
30,"Collins Street Medical Centre","03 8575 6900","collinsstreet.mc@partneredhealth.com.au","collinsstmedicalcentre.com.au/","Simon Andrade","LEVEL 7, 267 COLLINS STREET MELBOURNE VIC 3000"
31,"Era Health Doctor Melbourne CBD","03 9944 6200","info@erahealth.com.au","www.erahealth.com.au/","Mavis Vaz","Level 9, 460 Bourke Street MELBOURNE VIC 3000"
32,"Era Health Doctor Melbourne CBD","03 9944 6200","info@erahealth.com.au","www.erahealth.com.au/","Charles Lisner","Level 9, 460 Bourke Street MELBOURNE VIC 3000"
33,"Era Health Doctor Melbourne CBD","03 9944 6200","info@erahealth.com.au","www.erahealth.com.au/","Leon Min-lai Toh","Level 9, 460 Bourke Street MELBOURNE VIC 3000"
34,"The Travel Doctor - Melbourne","03 9666 0600","melbourne@traveldoctor.com.au","www.traveldoctor.com.au/locations/melbourne","Mark Newell","215 Spring Street MELBOURNE VIC 3000"
35,"The Travel Doctor - Melbourne","03 9666 0600","melbourne@traveldoctor.com.au","www.traveldoctor.com.au/locations/melbourne","Gini Skinner","215 Spring Street MELBOURNE VIC 3000"
36,"The Travel Doctor - Melbourne","03 9666 0600","melbourne@traveldoctor.com.au","www.traveldoctor.com.au/locations/melbourne","Kirsten Jane Dunhill","215 Spring Street MELBOURNE VIC 3000"
37,"Sonic Healthplus Melbourne CBD","03 9666 0600","melbournecbd@sonichealthplus.com.au","sonichealthplus.com.au/locations/melbourne-cbd","Magdalena Simonis","215 Spring Street MELBOURNE VIC 3000"
38,"Sonic Healthplus Melbourne CBD","03 9666 0600","melbournecbd@sonichealthplus.com.au","sonichealthplus.com.au/locations/melbourne-cbd","Yael Bodian","215 Spring Street MELBOURNE VIC 3000"
39,"Collins Place Medical Clinic","03 9650 4218","manager@cpmc.com.au","www.cpmc.com.au/","Graeme Edwards","Harley House, Level 3, 71 Collins Street MELBOURNE VIC 3000"
40,"Collins Place Medical Clinic","03 9650 4218","manager@cpmc.com.au","www.cpmc.com.au/","Patricia Civitico","Harley House, Level 3, 71 Collins Street MELBOURNE VIC 3000"
41,"Collins Place Medical Clinic","03 9650 4218","manager@cpmc.com.au","www.cpmc.com.au/","Lisa Whitmarsh","Harley House, Level 3, 71 Collins Street MELBOURNE VIC 3000"
42,"The Living Room (Youth Projects)","03 9945 2100","medical@youthprojects.org.au","www.youthprojects.org.au/the-living-room","","7 HOSIER LANE MELBOURNE VIC 3000"
43,"The Living Room","03 9945 2100","medical@youthprojects.org.au","www.youthprojects.org.au/","","7 Hosier Lane MELBOURNE VIC 3000"
44,"CBD Doctors Melbourne","03 9077 9912","reception@cbddocs.com.au","www.cbddoctorsmelbourne.com.au/","Jelena Radosavljevic","Level 10, 53 Queen Street MELBOURNE VIC 3000"
45,"CBD Doctors Melbourne","03 9077 9912","reception@cbddocs.com.au","www.cbddoctorsmelbourne.com.au/","Hua Zhang","Level 10, 53 Queen Street MELBOURNE VIC 3000"
46,"CBD Doctors Melbourne","03 9077 9912","reception@cbddocs.com.au","www.cbddoctorsmelbourne.com.au/","Ming-Fai Lau","Level 10, 53 Queen Street MELBOURNE VIC 3000"
47,"QV Medical Centre","03 9662 2256","info@qvmedical.com.au","www.qvmedical.com.au/","","Level 7, 1 Elizabeth Street MELBOURNE VIC 3000"
48,"Chase Medical Centre","03 9650 5494","chasemedicalcentre@ozonline.com.au","www.chasemedicalcentre.com/","Aviva Kotler","Collins Place Professional Suites, Suite 9, 45 Collins Street MELBOURNE VIC 3000"
49,"Collins GP","03 9654 9135","info@collinsgp.com.au","www.collinsgp.com.au/","Subramanian Nagappan","Alcaston House, 2 Collins Street MELBOURNE VIC 3000"
50,"MyClinic Melbourne","03 9620 5299","","www.myclinicgroup.com.au/","Parveen Kumar Saini","91 William Street MELBOURNE VIC 3000"
51,"MyClinic Melbourne","03 9620 5299","","www.myclinicgroup.com.au/","Moyaz Jiwa","91 William Street MELBOURNE VIC 3000"
52,"Melbourne North Medical Clinic","039328 3383","","","","605 ELIZABETH STREET MELBOURNE VIC 3000"
53,"VISTA Clinic Australia","0434 780 777","vistaclinicau@gmail.com","www.vistaclinic.com.au/","","The Exchange Tower, Suite 415, Level 4, 530 Collins Street MELBOURNE VIC 3000"
54,"Vita Medical Centre","03 9193 6221","vitamedical@outlook.com.au","www.vitamedicalcentre.com.au/","Calan Khong","375 King Street WEST MELBOURNE VIC 3003"
55,"Southgate Medical Centre","03 9690 1433","clinic@southgatemedical.com.au","southgatemedical.com.au/","Kirsten Jane Dunhill","3 Southgate Avenue SOUTHBANK VIC 3006"
56,"Southgate Medical Centre","03 9690 1433","clinic@southgatemedical.com.au","southgatemedical.com.au/","Martin Fox","3 Southgate Avenue SOUTHBANK VIC 3006"
57,"The University of Melbourne - Health Service","03 8344 6904","admin-healthservice@unimelb.edu.au","www.services.unimelb.edu.au/health/","Felicity Heale","138-146 Cardigan Street CARLTON VIC 3053"
58,"The University of Melbourne - Health Service","03 8344 6904","admin-healthservice@unimelb.edu.au","www.services.unimelb.edu.au/health/","Dimitri Giannakopoulos","138-146 Cardigan Street CARLTON VIC 3053"
59,"The University of Melbourne - Health Service","03 8344 6904","admin-healthservice@unimelb.edu.au","www.services.unimelb.edu.au/health/","Fanny Lie","138-146 Cardigan Street CARLTON VIC 3053"
60,"William Angliss Institute Medical Centre","03 9606 2208","reception@waimedicalcentre.com.au","www.waimedicalcentre.com.au/","Emily Clarke","Level 2 Building C, 555 LA TROBE STREET MELBOURNE VIC 3000"
61,"Freshwater Place Medical","03 9926 3646","info@freshwaterplacemedical.com.au","","Toai Phan","13-15/1 Freshwater Place SOUTHBANK VIC 3006"
62,"Freshwater Place Medical","03 9926 3646","info@freshwaterplacemedical.com.au","","John Newton","13-15/1 Freshwater Place SOUTHBANK VIC 3006"
63,"Freshwater Place Medical","03 9926 3646","info@freshwaterplacemedical.com.au","","Adjoa Mensa-Ababio","13-15/1 Freshwater Place SOUTHBANK VIC 3006"
64,"ACU Medical Centre Melbourne","03 9953 3762","medicalcentremelb@acu.edu.au","www.acu.edu.au/student-life/student-services/medical-centres/st-vincents-medical-centre---acu-melbourne-campus","","The Daniel Mannix Building, Mezzanine Level, 17-29 YOUNG STREET FITZROY VIC 3065"
65,"cohealth - Fitzroy","03 9448 5531","","www.cohealth.org.au/service/doctors/","Jedrzej Pawlikowski","75 Brunswick Street FITZROY VIC 3065"
66,"cohealth - Fitzroy","03 9448 5531","","www.cohealth.org.au/service/doctors/","Simon Wilding","75 Brunswick Street FITZROY VIC 3065"
67,"cohealth - Fitzroy","03 9448 5531","","www.cohealth.org.au/service/doctors/","Samantha Green","75 Brunswick Street FITZROY VIC 3065"
68,"Australian Prostate Centre","03 8373 7600","info@apcr.org.au","www.prostatecentre.org.au/","","Level 8, 14-20 Blackwood Street NORTH MELBOURNE VIC 3051"
69,"Premier Health Partners","03 9329 7077","","www.premierhealthpartners.com.au/","Lisa Nguyen","8 Wominjeka Walk WEST MELBOURNE VIC 3003"
70,"Premier Health Partners","03 9329 7077","","www.premierhealthpartners.com.au/","Kafayat Lee","8 Wominjeka Walk WEST MELBOURNE VIC 3003"
71,"Premier Health Partners","03 9329 7077","","www.premierhealthpartners.com.au/","Bee Lee","8 Wominjeka Walk WEST MELBOURNE VIC 3003"
72,"MyClinic Southbank","03 9131 4210","","www.myclinicgroup.com.au/","Sally Roberts","63 Power Street SOUTHBANK VIC 3006"
73,"MyClinic Southbank","03 9131 4210","","www.myclinicgroup.com.au/","Ravi Arya","63 Power Street SOUTHBANK VIC 3006"
74,"MyClinic Southbank","03 9131 4210","","www.myclinicgroup.com.au/","Mozhgan Karimi","63 Power Street SOUTHBANK VIC 3006"
75,"Parkville Precinct Medical","03 8652 8652","Office@ppmedical.com.au","parkvilleprecinctmedical.com.au/","Eleanor Lynch","1F Royal Parade PARKVILLE VIC 3052"
76,"Parkville Precinct Medical","03 8652 8652","Office@ppmedical.com.au","parkvilleprecinctmedical.com.au/","Matthew Suen","1F Royal Parade PARKVILLE VIC 3052"
77,"Parkville Precinct Medical","03 8652 8652","Office@ppmedical.com.au","parkvilleprecinctmedical.com.au/","Kirby Campbell-Wood","1F Royal Parade PARKVILLE VIC 3052"
78,"Lygon Court Medical Clinic","03 9347 6546","lygoncourtmedical@gmail.com","","Monica Cooper","LYGON COURT, Level 1 Suite 3, 380 Lygon Street CARLTON VIC 3053"
79,"Lygon Court Medical Clinic","03 9347 6546","lygoncourtmedical@gmail.com","","Evan Grambas","LYGON COURT, Level 1 Suite 3, 380 Lygon Street CARLTON VIC 3053"
80,"Capstone Medical Centre Southbank","03 9686 2222","southbank.reception@capstonemc.com.au","","Subramanian Nagappan","Ground Floor  Unit 2, 216 City Road SOUTHBANK VIC 3006"
81,"Capstone Medical Centre Southbank","03 9686 2222","southbank.reception@capstonemc.com.au","","Farnoush Farahani Nia","Ground Floor  Unit 2, 216 City Road SOUTHBANK VIC 3006"
82,"Carlton Family Medical","03 8330 3900","info@carltonfamilymedical.com.au","www.carltonfamilymedical.com.au/","Katryna Zabidi","88 Rathdowne Street CARLTON VIC 3053"
83,"Carlton Family Medical","03 8330 3900","info@carltonfamilymedical.com.au","www.carltonfamilymedical.com.au/","Tamsin Travers","88 Rathdowne Street CARLTON VIC 3053"
84,"Carlton Family Medical","03 8330 3900","info@carltonfamilymedical.com.au","www.carltonfamilymedical.com.au/","David Ling","88 Rathdowne Street CARLTON VIC 3053"
85,"Errol Street Medical Centre","03 9329 7011","","www.carewisehealth.com.au/errol_street_medical_centre.html","Hawa Yasir","Level 1, 65 Errol Street NORTH MELBOURNE VIC 3051"
86,"Errol Street Medical Centre","03 9329 7011","","www.carewisehealth.com.au/errol_street_medical_centre.html","Emerson Tantoo","Level 1, 65 Errol Street NORTH MELBOURNE VIC 3051"
87,"Errol Street Medical Centre","03 9329 7011","","www.carewisehealth.com.au/errol_street_medical_centre.html","Zhao Wu","Level 1, 65 Errol Street NORTH MELBOURNE VIC 3051"
88,"Victorian Aboriginal Health Service - Fitzroy","03 9419 3000","info@vahs.org.au","www.vahs.org.au/","Sarah Koh","186 Nicholson Street FITZROY VIC 3065"
89,"Victorian Aboriginal Health Service - Fitzroy","03 9419 3000","info@vahs.org.au","www.vahs.org.au/","Laura Georgiou","186 Nicholson Street FITZROY VIC 3065"
90,"Victorian Aboriginal Health Service - Fitzroy","03 9419 3000","info@vahs.org.au","www.vahs.org.au/","Alistair Don","186 Nicholson Street FITZROY VIC 3065"
91,"Epworth Freemasons GP Health Clinic","03 9418 8162","healthclinics@epworth.org.au","www.epworth.org.au/our-services/gp-clinic","","Level 1, 124 Grey Street EAST MELBOURNE VIC 3002"
92,"Clinicare - Fitzroy","03 9417 3377","clinicaremanager@gmail.com","www.clinicare.com.au/","Cemira Mairaj","165 Smith Street FITZROY VIC 3065"
93,"Clinicare - Fitzroy","03 9417 3377","clinicaremanager@gmail.com","www.clinicare.com.au/","Ovida Vidyathilaka Vipulaguna","165 Smith Street FITZROY VIC 3065"
94,"Clinicare - Fitzroy","03 9417 3377","clinicaremanager@gmail.com","www.clinicare.com.au/","Malcolm Mackay","165 Smith Street FITZROY VIC 3065"
95,"Jean Hailes at Epworth Freemasons","03 9562 7555","clinic@jeanhailes.org.au","jeanhailes.org.au/","Sheree Krass","412 Victoria Parade EAST MELBOURNE VIC 3002"
96,"Jean Hailes at Epworth Freemasons","03 9562 7555","clinic@jeanhailes.org.au","jeanhailes.org.au/","Natasha Kustura","412 Victoria Parade EAST MELBOURNE VIC 3002"
97,"Jean Hailes at Epworth Freemasons","03 9562 7555","clinic@jeanhailes.org.au","jeanhailes.org.au/","Anne Peterson","412 Victoria Parade EAST MELBOURNE VIC 3002"
98,"Southbank Medical Clinic","03 9645 7775","","www.southbankmedicalclinic.com.au/","Lucy Dang","151 Sturt Street SOUTHBANK VIC 3006"
99,"Southbank Medical Clinic","03 9645 7775","","www.southbankmedicalclinic.com.au/","Peter Bennett","151 Sturt Street SOUTHBANK VIC 3006"
100,"Southbank Medical Clinic","03 9645 7775","","www.southbankmedicalclinic.com.au/","Filip Vukasin","151 Sturt Street SOUTHBANK VIC 3006"
101,"Collingwood Medical","03 9069 5840","reception@collingwoodmedical.com.au","www.collingwoodmedical.com.au/","Justin Osborne","Levels 5 & 6, Level 6, 51 Langridge Street COLLINGWOOD VIC 3066"
102,"Collingwood Medical","03 9069 5840","reception@collingwoodmedical.com.au","www.collingwoodmedical.com.au/","Marian Mancey-Jones","Levels 5 & 6, Level 6, 51 Langridge Street COLLINGWOOD VIC 3066"
103,"Collingwood Medical","03 9069 5840","reception@collingwoodmedical.com.au","www.collingwoodmedical.com.au/","James Sell","Levels 5 & 6, Level 6, 51 Langridge Street COLLINGWOOD VIC 3066"
104,"Queen Street Medical Centre - Brisbane City","07 3229 9355","admin@queenstmed.com.au","www.queenstreetmedicalcentre.com.au/","","Q and A Building, Level 6, 141 Queen Street BRISBANE CITY QLD 4000"
105,"Travellers Medical Service","07 3211 3611","cbdmedical@ozemail.com.au","www.travellersmedicalservice.com/","","Level 1, 245 Albert Street BRISBANE CITY QLD 4000"
106,"Myer Centre Doctors","07 3210 2111","","","Xianghai Chen","Myer Centre, Shop 103B, 91 Queen Street BRISBANE CITY QLD 4000"
107,"Myer Centre Doctors","07 3210 2111","","","Aida Vizcaya Guarin","Myer Centre, Shop 103B, 91 Queen Street BRISBANE CITY QLD 4000"
108,"CBD 7 Day Medical Centre","07 3211 3611","cbdmedical@ozemail.com.au","www.cbdmedical.com.au/","John Skala","Level 1, 245 Albert Street BRISBANE CITY QLD 4000"
109,"City GP","07 3012 9559","","www.citygp.com.au/","","Royal Albert Building, Level 1 Suite 6, 167 Albert Street BRISBANE CITY QLD 4000"
110,"CityCare Doctors @ Wintergarden","07 3012 8939","wintergarden@firstcaredoctors.com","www.firstcaredoctors.com/","","Lower Ground Floor, Shop 2, 171 Queen Street BRISBANE CITY QLD 4000"
111,"Albert St CBD Medical Centre","07 3210 1889","albertstcbdmedicalcentre@hotmail.com","","","Level 3, 138 Albert Street BRISBANE CITY QLD 4000"
112,"Skyarch Medical Clinic Brisbane","07 3438 9835","reception@skyarchmedicalclinc.com.au","skyarchmedicalclinic.com.au/","","Level 3, Suite 3C, 102 ADELAIDE STREET BRISBANE CITY QLD 4000"
113,"Sakura Family Clinic","07 3003 0100","info@sakuraclinic.com.au","www.sakuraclinic.com.au/","","Level 11, 116 ADELAIDE STREET BRISBANE CITY QLD 4000"
114,"Smart Clinic George Street","07 3236 2559","georgestreet@smartclinics.com.au","www.smartclinics.com.au/location/brisbane-city/","Maria Cheung","Cnr Adelaide and George Street  BRISBANE CITY QLD 4000"
115,"Smart Clinic George Street","07 3236 2559","georgestreet@smartclinics.com.au","www.smartclinics.com.au/location/brisbane-city/","Ashok Sankarayya","Cnr Adelaide and George Street  BRISBANE CITY QLD 4000"
116,"Smart Clinic George Street","07 3236 2559","georgestreet@smartclinics.com.au","www.smartclinics.com.au/location/brisbane-city/","Henry Douglas","Cnr Adelaide and George Street  BRISBANE CITY QLD 4000"
117,"Brisbane City Doctors Precinct","07 3221 3366","contact@289queen.com.au","www.brisbanecitydoctors.com.au/","","Manor Apartments, 289 Queen Street BRISBANE CITY QLD 4000"
118,"suite38, 223Calam Road, Sunnybank Hills, QLD4109","07 3557 7811","practicemanager@doctorsatsunnybankhills.com.au","doctorsatsunnybankhills.com.au/","Tzung-Shiahn Sheen","Suite38, 223 Calam Road SUNNYBANK HILLS QLD 4109"
119,"Dr Deb's The Travel Doctor - Brisbane","07 3221 9066","clinic@thetraveldoctor.com.au","www.thetraveldoctor.com.au/","","Floor 5, 247 Adelaide Street BRISBANE CITY QLD 4000"
120,"Our GP Medical Centre Creek Street","07 3016 3777","creekstreet@ourgpmedicalcentres.com.au","ourgpmedicalcentres.com.au/","Sue May Liow","Ground Floor, 40 Creek Street BRISBANE CITY QLD 4000"
121,"Market Street Medical Practice","07 3229 9209","","www.marketstreetmedical.com.au/","Nicoli Leonard","LEVEL 1, 10 MARKET STREET BRISBANE CITY QLD 4000"
122,"Market Street Medical Practice","07 3229 9209","","www.marketstreetmedical.com.au/","Peta Leonard","LEVEL 1, 10 MARKET STREET BRISBANE CITY QLD 4000"
123,"Anzac Square Medical Centre","07 3229 1344","admin@anzacsquaremc.com.au","www.anzacsquaremc.com.au/","","280 Ann Street BRISBANE CITY QLD 4000"
124,"Advanced Functional Medicine -  Brisbane","1800 112 236","admin@advancedfunctionalmedicine.com.au","advancedfunctionalmedicine.com.au/brisbane/","","Suite 3668, 204 ALICE STREET BRISBANE CITY QLD 4000"
125,"My Life My Health Medical","07 3832 2888","admin@mlmh.com.au","mylifemyhealth.com.au/","Ebrahim Patel","Wickham House Building, 155-157 Wickham Terrace BRISBANE CITY QLD 4000"
126,"Amicus Medical Chambers","07 3832 3332","reception@amicusmedical.com.au","www.amicusmedical.com.au/","","Wickham House, Level 2, 155 Wickham Terrace SPRING HILL QLD 4000"
127,"Millennium Medical Centre - Spring Hill","07 3832 5255","info@mmgmedical.com.au","","","Morris Towers, 149 Wickham Terrace SPRING HILL QLD 4000"
128,"Millenium Medical","07 3832 5255","info@mmgmedical.com.au","www.hotdoc.com.au/medical-centres/brisbane-QLD-4000/millennium-medical-group/doctors","","Morris Towers, Ground floor, 149 Wickham Terrace BRISBANE CITY QLD 4000"
129,"SHP Brisbane CBD","07 3058 8399","brisbanecbd@sonichealthplus.com.au","www.sonichealthplus.com.au/locations/brisbane-cbd","","West Tower, Level 5, 410 Ann Street BRISBANE CITY QLD 4000"
130,"QUT Medical Centre, Gardens Point","07 3138 2321","healthservices@qut.edu.au","www.medical-centre.qut.edu.au/","Eyup Kose","Gardens Point, Level 4 Block X, 2 George Street BRISBANE CITY QLD 4000"
131,"QUT Medical Centre, Gardens Point","07 3138 2321","healthservices@qut.edu.au","www.medical-centre.qut.edu.au/","Goli Bozorgi","Gardens Point, Level 4 Block X, 2 George Street BRISBANE CITY QLD 4000"
132,"QUT Medical Centre, Gardens Point","07 3138 2321","healthservices@qut.edu.au","www.medical-centre.qut.edu.au/","Samantha Wakista","Gardens Point, Level 4 Block X, 2 George Street BRISBANE CITY QLD 4000"
133,"Inclusive Health and Wellness Hub","07 3013 6050","admin@inclusivehealthclinic.org.au","inclusivehealthclinic.org.au/","","Shop 2, 15 Hope Street SOUTH BRISBANE QLD 4101"
134,"Turbot Street Medical Centre","07 3839 0128","info@turbotstmc.com.au","turbotstmc.com.au/","Mark Liu","375 Turbot Street SPRING HILL QLD 4000"
135,"Turbot Street Medical Centre","07 3839 0128","info@turbotstmc.com.au","turbotstmc.com.au/","Vivian Cham","375 Turbot Street SPRING HILL QLD 4000"
136,"Turbot Street Medical Centre","07 3839 0128","info@turbotstmc.com.au","turbotstmc.com.au/","Alexander Edson","375 Turbot Street SPRING HILL QLD 4000"
137,"Our GP Medical Centre Spring Hill","07 3001 6900","springhill@ourgpmedicalcentres.com.au","ourgpmedicalcentres.com.au/","Michael Donaldson","Level 2, 448 Boundary Street SPRING HILL QLD 4000"
138,"Our GP Medical Centre Spring Hill","07 3001 6900","springhill@ourgpmedicalcentres.com.au","ourgpmedicalcentres.com.au/","Mark Morris","Level 2, 448 Boundary Street SPRING HILL QLD 4000"
139,"Our GP Medical Centre Spring Hill","07 3001 6900","springhill@ourgpmedicalcentres.com.au","ourgpmedicalcentres.com.au/","Jennifer Thorne","Level 2, 448 Boundary Street SPRING HILL QLD 4000"
140,"Lilian Cooper Women's Health Centre","07 3832 1666","admin@liliancooper.com.au","www.liliancoopercentre.com.au/","","St Andrews Place, Suite 297, Level 1, 33 North Street SPRING HILL QLD 4000"
141,"Dockside Medical Hub","07 2100 0433","docksidemedicalhub@outlook.com","docksidemedicalhub.com/","","Shop 3, SHOP 3, 35 FERRY STREET KANGAROO POINT QLD 4169"
142,"Our GP Medical Centre The Barracks","07 3328 5222","barracks@ourgpmedicalcentres.com.au","ourgpmedicalcentres.com.au/","Matthew Warburton","Shop 16A, 61 Petrie Terrace BRISBANE CITY QLD 4000"
143,"SmartClinics West End","07 3844 4111","westend@smartclinics.com.au","www.smartclinics.com.au/","Sy-Yuh Sheu","The Soda Factory West End, 79 BOUNDARY STREET SOUTH BRISBANE QLD 4101"
144,"SmartClinics West End","07 3844 4111","westend@smartclinics.com.au","www.smartclinics.com.au/","Ebrahim Patel","The Soda Factory West End, 79 BOUNDARY STREET SOUTH BRISBANE QLD 4101"
145,"SmartClinics West End","07 3844 4111","westend@smartclinics.com.au","www.smartclinics.com.au/","Innes Campbell","The Soda Factory West End, 79 BOUNDARY STREET SOUTH BRISBANE QLD 4101"
146,"Next Practice West End","07 3132 9191","westend.pa@nextpracticehealth.com","nextpracticehealth.com/locations/qld-westend","","The Eaves, Level 1, Suite 4, 51 MOLLISON STREET WEST END QLD 4101"
147,"West End Medical Practice","07 3846 4888","reception@westend.clinic","www.wemp.com.au/","Susan Andersen","38 Russell Street WEST END QLD 4101"
148,"West End Medical Practice","07 3846 4888","reception@westend.clinic","www.wemp.com.au/","Cara Jefferies","38 Russell Street WEST END QLD 4101"
149,"West End Medical Practice","07 3846 4888","reception@westend.clinic","www.wemp.com.au/","John Ruberry","38 Russell Street WEST END QLD 4101"
150,"QCGP+ (Queensland Council for LGBTI Health)","07 3017 1777","qcgp@qc.org.au","qc.org.au/","","421 BRUNSWICK STREET FORTITUDE VALLEY QLD 4006"
151,"Point Medical Clinic","07 3036 1980","pointmedical685@gmail.com","pointmedical.com.au/","","Suite 2, 685 Main Street KANGAROO POINT QLD 4169"
152,"Dr Peter Andersen","07 3852 2926","","","Peter Andersen","McWhirters Building, 205B/292 Brunswick Street FORTITUDE VALLEY QLD 4006"
153,"Southcity Family Medical Centre","07 3844 4000","","www.southcitymedicalcentre.com.au/","Albert Reece","39 Gladstone Road HIGHGATE HILL QLD 4101"
154,"Gladstone Road Medical Centre","07 3844 9599","","www.grmc.com.au/","Matthew Barber","38 Gladstone Road HIGHGATE HILL QLD 4101"
155,"Sante Medical","07 3554 0312","info@santemedical.com.au","santemedical.com.au/","","161 GIVEN TERRACE PADDINGTON QLD 4064"
156,"Holdsworth House Medical Brisbane","07 3894 0794","brisbane@holdsworthhouse.com.au","www.holdsworthhouse.com.au/","","116 Robertson Street FORTITUDE VALLEY QLD 4006"
