Index,Name,Phone,Email,Website,Practitioner, Location
27,"The Town Medical Centre","03 9670 5777","reception@townmedicalcentre.com.au","www.townmedicalcentre.com.au/","Graeme Baro","Level 5, 179 Queen Street MELBOURNE VIC 3000"
28,"Collins Street Medical Centre","03 8575 6900","collinsstreet.mc@partneredhealth.com.au","collinsstmedicalcentre.com.au/","Victoria Nahamkes","LEVEL 7, 267 COLLINS STREET MELBOURNE VIC 3000"
29,"Collins Street Medical Centre","03 8575 6900","collinsstreet.mc@partneredhealth.com.au","collinsstmedicalcentre.com.au/","Amanda Nutting","LEVEL 7, 267 COLLINS STREET MELBOURNE VIC 3000"
30,"Collins Street Medical Centre","03 8575 6900","collinsstreet.mc@partneredhealth.com.au","collinsstmedicalcentre.com.au/","Simon Andrade","LEVEL 7, 267 COLLINS STREET MELBOURNE VIC 3000"
31,"Era Health Doctor Melbourne CBD","03 9944 6200","info@erahealth.com.au","www.erahealth.com.au/","Mavis Vaz","Level 9, 460 Bourke Street MELBOURNE VIC 3000"
32,"Era Health Doctor Melbourne CBD","03 9944 6200","info@erahealth.com.au","www.erahealth.com.au/","Charles Lisner","Level 9, 460 Bourke Street MELBOURNE VIC 3000"
33,"Era Health Doctor Melbourne CBD","03 9944 6200","info@erahealth.com.au","www.erahealth.com.au/","Leon Min-lai Toh","Level 9, 460 Bourke Street MELBOURNE VIC 3000"
34,"The Travel Doctor - Melbourne","03 9666 0600","melbourne@traveldoctor.com.au","www.traveldoctor.com.au/locations/melbourne","Mark Newell","215 Spring Street MELBOURNE VIC 3000"
35,"The Travel Doctor - Melbourne","03 9666 0600","melbourne@traveldoctor.com.au","www.traveldoctor.com.au/locations/melbourne","Gini Skinner","215 Spring Street MELBOURNE VIC 3000"
36,"The Travel Doctor - Melbourne","03 9666 0600","melbourne@traveldoctor.com.au","www.traveldoctor.com.au/locations/melbourne","Kirsten Jane Dunhill","215 Spring Street MELBOURNE VIC 3000"
37,"Sonic Healthplus Melbourne CBD","03 9666 0600","melbournecbd@sonichealthplus.com.au","sonichealthplus.com.au/locations/melbourne-cbd","Magdalena Simonis","215 Spring Street MELBOURNE VIC 3000"
38,"Sonic Healthplus Melbourne CBD","03 9666 0600","melbournecbd@sonichealthplus.com.au","sonichealthplus.com.au/locations/melbourne-cbd","Yael Bodian","215 Spring Street MELBOURNE VIC 3000"
39,"Collins Place Medical Clinic","03 9650 4218","manager@cpmc.com.au","www.cpmc.com.au/","Graeme Edwards","Harley House, Level 3, 71 Collins Street MELBOURNE VIC 3000"
40,"Collins Place Medical Clinic","03 9650 4218","manager@cpmc.com.au","www.cpmc.com.au/","Patricia Civitico","Harley House, Level 3, 71 Collins Street MELBOURNE VIC 3000"
41,"Collins Place Medical Clinic","03 9650 4218","manager@cpmc.com.au","www.cpmc.com.au/","Lisa Whitmarsh","Harley House, Level 3, 71 Collins Street MELBOURNE VIC 3000"
42,"The Living Room (Youth Projects)","03 9945 2100","medical@youthprojects.org.au","www.youthprojects.org.au/the-living-room","","7 HOSIER LANE MELBOURNE VIC 3000"
43,"The Living Room","03 9945 2100","medical@youthprojects.org.au","www.youthprojects.org.au/","","7 Hosier Lane MELBOURNE VIC 3000"
44,"CBD Doctors Melbourne","03 9077 9912","reception@cbddocs.com.au","www.cbddoctorsmelbourne.com.au/","Jelena Radosavljevic","Level 10, 53 Queen Street MELBOURNE VIC 3000"
45,"CBD Doctors Melbourne","03 9077 9912","reception@cbddocs.com.au","www.cbddoctorsmelbourne.com.au/","Hua Zhang","Level 10, 53 Queen Street MELBOURNE VIC 3000"
46,"CBD Doctors Melbourne","03 9077 9912","reception@cbddocs.com.au","www.cbddoctorsmelbourne.com.au/","Ming-Fai Lau","Level 10, 53 Queen Street MELBOURNE VIC 3000"
47,"QV Medical Centre","03 9662 2256","info@qvmedical.com.au","www.qvmedical.com.au/","","Level 7, 1 Elizabeth Street MELBOURNE VIC 3000"
48,"Chase Medical Centre","03 9650 5494","chasemedicalcentre@ozonline.com.au","www.chasemedicalcentre.com/","Aviva Kotler","Collins Place Professional Suites, Suite 9, 45 Collins Street MELBOURNE VIC 3000"
49,"Collins GP","03 9654 9135","info@collinsgp.com.au","www.collinsgp.com.au/","Subramanian Nagappan","Alcaston House, 2 Collins Street MELBOURNE VIC 3000"
50,"MyClinic Melbourne","03 9620 5299","","www.myclinicgroup.com.au/","Parveen Kumar Saini","91 William Street MELBOURNE VIC 3000"
51,"MyClinic Melbourne","03 9620 5299","","www.myclinicgroup.com.au/","Moyaz Jiwa","91 William Street MELBOURNE VIC 3000"
52,"Melbourne North Medical Clinic","039328 3383","","","","605 ELIZABETH STREET MELBOURNE VIC 3000"
53,"VISTA Clinic Australia","0434 780 777","vistaclinicau@gmail.com","www.vistaclinic.com.au/","","The Exchange Tower, Suite 415, Level 4, 530 Collins Street MELBOURNE VIC 3000"
54,"Vita Medical Centre","03 9193 6221","vitamedical@outlook.com.au","www.vitamedicalcentre.com.au/","Calan Khong","375 King Street WEST MELBOURNE VIC 3003"
55,"Southgate Medical Centre","03 9690 1433","clinic@southgatemedical.com.au","southgatemedical.com.au/","Kirsten Jane Dunhill","3 Southgate Avenue SOUTHBANK VIC 3006"
56,"Southgate Medical Centre","03 9690 1433","clinic@southgatemedical.com.au","southgatemedical.com.au/","Martin Fox","3 Southgate Avenue SOUTHBANK VIC 3006"
57,"The University of Melbourne - Health Service","03 8344 6904","admin-healthservice@unimelb.edu.au","www.services.unimelb.edu.au/health/","Felicity Heale","138-146 Cardigan Street CARLTON VIC 3053"
58,"The University of Melbourne - Health Service","03 8344 6904","admin-healthservice@unimelb.edu.au","www.services.unimelb.edu.au/health/","Dimitri Giannakopoulos","138-146 Cardigan Street CARLTON VIC 3053"
59,"The University of Melbourne - Health Service","03 8344 6904","admin-healthservice@unimelb.edu.au","www.services.unimelb.edu.au/health/","Fanny Lie","138-146 Cardigan Street CARLTON VIC 3053"
60,"William Angliss Institute Medical Centre","03 9606 2208","reception@waimedicalcentre.com.au","www.waimedicalcentre.com.au/","Emily Clarke","Level 2 Building C, 555 LA TROBE STREET MELBOURNE VIC 3000"
61,"Freshwater Place Medical","03 9926 3646","info@freshwaterplacemedical.com.au","","Toai Phan","13-15/1 Freshwater Place SOUTHBANK VIC 3006"
62,"Freshwater Place Medical","03 9926 3646","info@freshwaterplacemedical.com.au","","John Newton","13-15/1 Freshwater Place SOUTHBANK VIC 3006"
63,"Freshwater Place Medical","03 9926 3646","info@freshwaterplacemedical.com.au","","Adjoa Mensa-Ababio","13-15/1 Freshwater Place SOUTHBANK VIC 3006"
64,"ACU Medical Centre Melbourne","03 9953 3762","medicalcentremelb@acu.edu.au","www.acu.edu.au/student-life/student-services/medical-centres/st-vincents-medical-centre---acu-melbourne-campus","","The Daniel Mannix Building, Mezzanine Level, 17-29 YOUNG STREET FITZROY VIC 3065"
65,"cohealth - Fitzroy","03 9448 5531","","www.cohealth.org.au/service/doctors/","Jedrzej Pawlikowski","75 Brunswick Street FITZROY VIC 3065"
66,"cohealth - Fitzroy","03 9448 5531","","www.cohealth.org.au/service/doctors/","Simon Wilding","75 Brunswick Street FITZROY VIC 3065"
67,"cohealth - Fitzroy","03 9448 5531","","www.cohealth.org.au/service/doctors/","Samantha Green","75 Brunswick Street FITZROY VIC 3065"
68,"Australian Prostate Centre","03 8373 7600","info@apcr.org.au","www.prostatecentre.org.au/","","Level 8, 14-20 Blackwood Street NORTH MELBOURNE VIC 3051"
69,"Premier Health Partners","03 9329 7077","","www.premierhealthpartners.com.au/","Lisa Nguyen","8 Wominjeka Walk WEST MELBOURNE VIC 3003"
70,"Premier Health Partners","03 9329 7077","","www.premierhealthpartners.com.au/","Kafayat Lee","8 Wominjeka Walk WEST MELBOURNE VIC 3003"
71,"Premier Health Partners","03 9329 7077","","www.premierhealthpartners.com.au/","Bee Lee","8 Wominjeka Walk WEST MELBOURNE VIC 3003"
72,"MyClinic Southbank","03 9131 4210","","www.myclinicgroup.com.au/","Sally Roberts","63 Power Street SOUTHBANK VIC 3006"
73,"MyClinic Southbank","03 9131 4210","","www.myclinicgroup.com.au/","Ravi Arya","63 Power Street SOUTHBANK VIC 3006"
74,"MyClinic Southbank","03 9131 4210","","www.myclinicgroup.com.au/","Mozhgan Karimi","63 Power Street SOUTHBANK VIC 3006"
75,"Parkville Precinct Medical","03 8652 8652","Office@ppmedical.com.au","parkvilleprecinctmedical.com.au/","Eleanor Lynch","1F Royal Parade PARKVILLE VIC 3052"
76,"Parkville Precinct Medical","03 8652 8652","Office@ppmedical.com.au","parkvilleprecinctmedical.com.au/","Matthew Suen","1F Royal Parade PARKVILLE VIC 3052"
77,"Parkville Precinct Medical","03 8652 8652","Office@ppmedical.com.au","parkvilleprecinctmedical.com.au/","Kirby Campbell-Wood","1F Royal Parade PARKVILLE VIC 3052"
78,"Lygon Court Medical Clinic","03 9347 6546","lygoncourtmedical@gmail.com","","Monica Cooper","LYGON COURT, Level 1 Suite 3, 380 Lygon Street CARLTON VIC 3053"
79,"Lygon Court Medical Clinic","03 9347 6546","lygoncourtmedical@gmail.com","","Evan Grambas","LYGON COURT, Level 1 Suite 3, 380 Lygon Street CARLTON VIC 3053"
80,"Capstone Medical Centre Southbank","03 9686 2222","southbank.reception@capstonemc.com.au","","Subramanian Nagappan","Ground Floor  Unit 2, 216 City Road SOUTHBANK VIC 3006"
81,"Capstone Medical Centre Southbank","03 9686 2222","southbank.reception@capstonemc.com.au","","Farnoush Farahani Nia","Ground Floor  Unit 2, 216 City Road SOUTHBANK VIC 3006"
82,"Carlton Family Medical","03 8330 3900","info@carltonfamilymedical.com.au","www.carltonfamilymedical.com.au/","Katryna Zabidi","88 Rathdowne Street CARLTON VIC 3053"
83,"Carlton Family Medical","03 8330 3900","info@carltonfamilymedical.com.au","www.carltonfamilymedical.com.au/","Tamsin Travers","88 Rathdowne Street CARLTON VIC 3053"
84,"Carlton Family Medical","03 8330 3900","info@carltonfamilymedical.com.au","www.carltonfamilymedical.com.au/","David Ling","88 Rathdowne Street CARLTON VIC 3053"
85,"Errol Street Medical Centre","03 9329 7011","","www.carewisehealth.com.au/errol_street_medical_centre.html","Hawa Yasir","Level 1, 65 Errol Street NORTH MELBOURNE VIC 3051"
86,"Errol Street Medical Centre","03 9329 7011","","www.carewisehealth.com.au/errol_street_medical_centre.html","Emerson Tantoo","Level 1, 65 Errol Street NORTH MELBOURNE VIC 3051"
87,"Errol Street Medical Centre","03 9329 7011","","www.carewisehealth.com.au/errol_street_medical_centre.html","Zhao Wu","Level 1, 65 Errol Street NORTH MELBOURNE VIC 3051"
88,"Victorian Aboriginal Health Service - Fitzroy","03 9419 3000","info@vahs.org.au","www.vahs.org.au/","Sarah Koh","186 Nicholson Street FITZROY VIC 3065"
89,"Victorian Aboriginal Health Service - Fitzroy","03 9419 3000","info@vahs.org.au","www.vahs.org.au/","Laura Georgiou","186 Nicholson Street FITZROY VIC 3065"
90,"Victorian Aboriginal Health Service - Fitzroy","03 9419 3000","info@vahs.org.au","www.vahs.org.au/","Alistair Don","186 Nicholson Street FITZROY VIC 3065"
91,"Epworth Freemasons GP Health Clinic","03 9418 8162","healthclinics@epworth.org.au","www.epworth.org.au/our-services/gp-clinic","","Level 1, 124 Grey Street EAST MELBOURNE VIC 3002"
92,"Clinicare - Fitzroy","03 9417 3377","clinicaremanager@gmail.com","www.clinicare.com.au/","Cemira Mairaj","165 Smith Street FITZROY VIC 3065"
93,"Clinicare - Fitzroy","03 9417 3377","clinicaremanager@gmail.com","www.clinicare.com.au/","Ovida Vidyathilaka Vipulaguna","165 Smith Street FITZROY VIC 3065"
94,"Clinicare - Fitzroy","03 9417 3377","clinicaremanager@gmail.com","www.clinicare.com.au/","Malcolm Mackay","165 Smith Street FITZROY VIC 3065"
95,"Jean Hailes at Epworth Freemasons","03 9562 7555","clinic@jeanhailes.org.au","jeanhailes.org.au/","Sheree Krass","412 Victoria Parade EAST MELBOURNE VIC 3002"
96,"Jean Hailes at Epworth Freemasons","03 9562 7555","clinic@jeanhailes.org.au","jeanhailes.org.au/","Natasha Kustura","412 Victoria Parade EAST MELBOURNE VIC 3002"
97,"Jean Hailes at Epworth Freemasons","03 9562 7555","clinic@jeanhailes.org.au","jeanhailes.org.au/","Anne Peterson","412 Victoria Parade EAST MELBOURNE VIC 3002"
98,"Southbank Medical Clinic","03 9645 7775","","www.southbankmedicalclinic.com.au/","Lucy Dang","151 Sturt Street SOUTHBANK VIC 3006"
99,"Southbank Medical Clinic","03 9645 7775","","www.southbankmedicalclinic.com.au/","Peter Bennett","151 Sturt Street SOUTHBANK VIC 3006"
100,"Southbank Medical Clinic","03 9645 7775","","www.southbankmedicalclinic.com.au/","Filip Vukasin","151 Sturt Street SOUTHBANK VIC 3006"
101,"Collingwood Medical","03 9069 5840","reception@collingwoodmedical.com.au","www.collingwoodmedical.com.au/","Justin Osborne","Levels 5 & 6, Level 6, 51 Langridge Street COLLINGWOOD VIC 3066"
102,"Collingwood Medical","03 9069 5840","reception@collingwoodmedical.com.au","www.collingwoodmedical.com.au/","Marian Mancey-Jones","Levels 5 & 6, Level 6, 51 Langridge Street COLLINGWOOD VIC 3066"
103,"Collingwood Medical","03 9069 5840","reception@collingwoodmedical.com.au","www.collingwoodmedical.com.au/","James Sell","Levels 5 & 6, Level 6, 51 Langridge Street COLLINGWOOD VIC 3066"
